node,latency_s
1,0.000191856
10,0.343833696
100,0.351158753
11,0.416542521
12,0.335016078
13,0.196276198
14,0.232087919
15,0.334773376
16,0.196141807
17,0.238493343
18,0.443111527
19,0.199625323
2,0.38759812
20,0.130335757
21,0.232276302
22,0.129673781
23,0.346994256
24,0.197242288
25,0.348322132
26,0.378006189
27,0.196057341
28,0.353669339
29,0.238529379
3,0.12939524
30,0.330413377
31,0.350853009
32,0.348264086
33,0.409289351
34,0.238227276
35,0.331665205
36,0.406223935
37,0.56393999
38,0.387807068
39,0.383028323
4,0.367310644
40,0.199361764
41,0.331054581
42,0.199594848
43,0.343180032
44,0.199575314
45,0.367919089
46,0.232910994
47,0.59170298
48,0.351254252
49,0.335489951
5,0.332872132
50,0.12889805
51,0.351061194
52,0.334411349
53,0.342963834
54,0.430089559
55,0.331283464
56,0.128756029
57,0.41572806
58,0.387801315
59,0.359026722
6,0.199240176
60,0.129371908
61,0.394179323
62,0.195783814
63,0.335515071
64,0.332327565
65,0.343796861
66,0.416614487
67,0.359828817
68,0.199973217
69,0.335721978
7,0.432121742
70,0.380010175
71,0.343648631
72,0.335458446
73,0.195739569
74,0.232430031
75,0.195813328
76,0.415667822
77,0.404501942
78,0.414902355
79,0.350084262
8,0.195777571
80,0.347613505
81,0.347165766
82,0.129973603
83,0.344962705
84,0.442948468
85,0.348013144
86,0.34292394
87,0.401667562
88,0.415538589
89,0.128811422
9,0.416906494
90,0.335264722
91,0.23790508
92,0.331133232
93,0.387366725
94,0.232623441
95,0.344237443
96,0.349960522
97,0.418461334
98,0.350191706
99,0.199584849
