node,messages
1,4
10,7
100,5
101,5
102,4
103,5
104,6
105,6
106,4
108,7
109,6
11,7
110,7
111,6
112,6
113,5
114,6
115,4
116,8
117,4
118,8
119,5
12,5
120,6
122,7
123,7
124,10
125,5
126,5
127,10
128,5
129,4
13,8
130,6
131,7
132,7
133,8
134,6
135,8
136,4
137,4
138,6
139,4
14,7
140,6
141,6
142,8
143,6
144,7
145,4
146,4
147,5
148,5
15,6
150,6
151,5
152,4
153,7
154,4
155,6
156,4
157,5
158,5
159,6
16,7
160,8
161,6
162,5
163,5
164,7
165,6
166,5
167,4
168,8
17,7
170,9
171,4
172,6
173,6
174,4
175,7
176,5
177,6
178,4
179,5
18,8
180,5
181,5
182,8
183,5
184,5
185,8
186,6
187,5
188,5
189,5
19,5
190,6
191,6
192,4
193,6
194,7
195,6
196,6
197,10
198,8
199,6
2,8
20,7
200,7
21,6
22,6
23,8
24,6
25,5
26,6
27,9
28,5
29,10
3,5
30,4
31,8
32,4
33,8
34,7
35,4
36,4
37,9
39,4
4,6
40,7
41,5
43,8
44,5
45,5
46,6
47,6
48,6
5,6
50,5
51,7
52,5
53,4
54,5
55,7
56,5
57,5
58,4
59,9
6,7
60,8
61,5
62,8
63,6
64,6
65,7
66,8
67,5
68,5
69,8
7,7
70,7
71,6
73,4
74,4
75,5
76,4
77,7
78,5
79,6
8,8
80,6
81,4
82,4
83,6
84,5
87,4
88,9
89,8
9,6
90,4
91,7
92,6
93,4
94,9
95,6
96,5
97,7
98,9
99,4
